Italian,English
non,Not
di,Of
che,That
è,And
e,And
la,there
il,The
un,a
a,to
per,For
in,in
una,a
mi,me
sono,I am
ho,I have
ma,but
l',L'
lo,the
ha,has
le,the
si,Yes
ti,you
i,the
con,with
cosa,What
se,self
io,I
come,as
da,from
ci,There
no,no
questo,This
qui,here
e',And'
hai,you have
sei,six
del,of the
bene,Well
tu,you
sì,Yes
me,myself
più,more
al,to the
mio,my
c',there
perché,Why
lei,she
solo,Alone
te,you
era,era
gli,The
tutto,All
della,from the
così,Like this
mia,my
ne,neither
questa,this
fare,Do
quando,when
ora,Now
fatto,Done
essere,to be
so,I know
mai,never
chi,who
o,or
alla,at the
tutti,everyone
molto,Very
dei,of the
anche,Also
detto,said
quello,that
va,it goes
niente,Nothing
grazie,Thank you
lui,he
voglio,I want
abbiamo,we have
stato,state
nel,In the
suo,his
dove,Where
posso,I can
oh,Oh
prima,Before
allora,At that time
siamo,we are
d',d '
uno,one
un',a
sua,her
tuo,your
hanno,they have
noi,we
sta,is
fa,does
due,two
vuoi,you want
ancora,Still
